CustomerID,Recency,Frequency,MonetaryValue,R_Quartile,F_Quartile,M_Quartile,RFMClass,RFM_Score,Customer Segment
12422,29,39,9170,1,2,2,122,5,Attention Needed Customers
12423,1,126,30460,4,4,4,444,12,Most Loyal Customer
12424,4,30,7520,3,2,2,322,7,Loyal Customers
12425,3,36,8770,3,2,2,322,7,Loyal Customers
12426,5,30,6970,3,2,2,322,7,Loyal Customers
12427,12,35,8130,2,2,2,222,6,Loyal Customers
12428,1,300,71450,4,4,4,444,12,Most Loyal Customer
12429,2,97,23050,3,3,3,333,9,Most Loyal Customer
12430,5,11,2550,3,1,1,311,5,Potential Loyalists Customers
12431,2,240,57700,3,4,4,344,11,Most Loyal Customer
12432,1,108,27010,4,4,4,444,12,Most Loyal Customer
12433,1,420,101360,4,4,4,444,12,Most Loyal Customer
12434,3,54,13180,3,3,3,333,9,Most Loyal Customer
12435,1,36,8960,4,2,2,422,8,Loyal Customers
12436,7,16,3970,2,1,1,211,4,Lost Customers
12437,2,201,48210,3,4,4,344,11,Most Loyal Customer
12438,1,98,23270,4,3,3,433,10,Most Loyal Customer
12441,28,11,2680,1,1,1,111,3,Lost Customers
12442,14,12,2750,2,1,1,211,4,Lost Customers
12444,1,177,42720,4,4,4,444,12,Most Loyal Customer
12445,168,4,1120,1,1,1,111,3,Lost Customers
12446,1,58,13920,4,3,3,433,10,Most Loyal Customer
12447,17,26,6150,2,2,2,222,6,Loyal Customers
12448,5,22,5360,3,2,2,322,7,Loyal Customers
12449,2,191,44900,3,4,4,344,11,Most Loyal Customer
12450,66,8,2030,1,1,1,111,3,Lost Customers
12451,1,355,85860,4,4,4,444,12,Most Loyal Customer
12452,10,23,5570,2,2,2,222,6,Loyal Customers
12453,21,43,10130,1,3,3,133,7,Potential Loyalists Customers
12454,1,30,6720,4,2,2,422,8,Loyal Customers
12455,1,90,22080,4,3,3,433,10,Most Loyal Customer
12456,1,129,31080,4,4,4,444,12,Most Loyal Customer
12457,2,68,16170,3,3,3,333,9,Most Loyal Customer
12458,1,38,9230,4,2,2,422,8,Loyal Customers
12461,5,35,8100,3,2,2,322,7,Loyal Customers
12462,1,72,17230,4,3,3,433,10,Most Loyal Customer
12463,5,88,21370,3,3,3,333,9,Most Loyal Customer
12464,17,29,6550,2,2,2,222,6,Loyal Customers
12465,1,51,12660,4,3,3,433,10,Most Loyal Customer
12468,9,40,9680,2,2,2,222,6,Loyal Customers
12471,1,531,127590,4,4,4,444,12,Most Loyal Customer
12472,1,391,92290,4,4,4,444,12,Most Loyal Customer
12473,1,179,42520,4,4,4,444,12,Most Loyal Customer
12474,1,457,108510,4,4,4,444,12,Most Loyal Customer
12475,12,36,8520,2,2,2,222,6,Loyal Customers
12476,1,264,64400,4,4,4,444,12,Most Loyal Customer
12477,1,308,73070,4,4,4,444,12,Most Loyal Customer
12478,4,36,8560,3,2,2,322,7,Loyal Customers
12479,33,35,8650,1,2,2,122,5,Attention Needed Customers
12480,1,154,35370,4,4,4,444,12,Most Loyal Customer
12481,5,218,51140,3,4,4,344,11,Most Loyal Customer
12483,3,81,18660,3,3,3,333,9,Most Loyal Customer
12484,1,350,84890,4,4,4,444,12,Most Loyal Customer
12488,12,55,13320,2,3,3,233,8,Loyal Customers
12489,55,15,3850,1,1,1,111,3,Lost Customers
12490,11,245,59800,2,4,4,244,10,Most Loyal Customer
12491,4,26,5950,3,2,2,322,7,Loyal Customers
12492,9,20,4980,2,2,2,222,6,Loyal Customers
12493,74,23,5580,1,2,2,122,5,Attention Needed Customers
12494,1,84,20040,4,3,3,433,10,Most Loyal Customer
12497,16,14,3110,2,1,1,211,4,Lost Customers
12498,15,23,5500,2,2,2,222,6,Loyal Customers
12500,1,65,16700,4,3,3,433,10,Most Loyal Customer
12501,3,160,38910,3,4,4,344,11,Most Loyal Customer
12502,1,147,34960,4,4,4,444,12,Most Loyal Customer
12503,98,1,230,1,1,1,111,3,Lost Customers
12504,22,15,3420,1,1,1,111,3,Lost Customers
12505,208,1,300,1,1,1,111,3,Lost Customers
12506,12,23,5440,2,2,2,222,6,Loyal Customers
12507,3,23,5120,3,2,2,322,7,Loyal Customers
12508,12,69,16200,2,3,3,233,8,Loyal Customers
12509,79,7,1790,1,1,1,111,3,Lost Customers
12510,18,33,7770,1,2,2,122,5,Attention Needed Customers
12512,6,34,8160,2,2,2,222,6,Loyal Customers
12513,12,36,8970,2,2,2,222,6,Loyal Customers
12514,1,51,12280,4,3,3,433,10,Most Loyal Customer
12515,33,16,3770,1,1,1,111,3,Lost Customers
12516,12,26,6030,2,2,2,222,6,Loyal Customers
12517,1,286,68900,4,4,4,444,12,Most Loyal Customer
12518,5,124,29690,3,4,4,344,11,Most Loyal Customer
12519,17,18,4420,2,2,2,222,6,Loyal Customers
12520,2,155,36710,3,4,4,344,11,Most Loyal Customer
12521,4,38,9200,3,2,2,322,7,Loyal Customers
12522,5,12,2820,3,1,1,311,5,Potential Loyalists Customers
12523,1,110,26410,4,4,4,444,12,Most Loyal Customer
12524,1,144,34430,4,4,4,444,12,Most Loyal Customer
12526,1,71,17080,4,3,3,433,10,Most Loyal Customer
12527,6,18,4280,2,2,2,222,6,Loyal Customers
12528,10,95,23400,2,3,3,233,8,Loyal Customers
12530,4,68,16780,3,3,3,333,9,Most Loyal Customer
12531,1,17,4020,4,1,1,411,6,Potential Loyalists Customers
12532,18,16,3470,1,1,1,111,3,Lost Customers
12534,1,63,15330,4,3,3,433,10,Most Loyal Customer
12535,9,34,8270,2,2,2,222,6,Loyal Customers
12536,2,273,65920,3,4,4,344,11,Most Loyal Customer
12538,1,21,4790,4,2,2,422,8,Loyal Customers
12539,1,274,65330,4,4,4,444,12,Most Loyal Customer
12540,1,481,114250,4,4,4,444,12,Most Loyal Customer
12541,1,52,12020,4,3,3,433,10,Most Loyal Customer
12544,41,20,4870,1,2,2,122,5,Attention Needed Customers
12545,1,50,11230,4,3,3,433,10,Most Loyal Customer
12546,6,70,16130,2,3,3,233,8,Loyal Customers
12547,17,8,1520,2,1,1,211,4,Lost Customers
12548,89,5,1360,1,1,1,111,3,Lost Customers
12550,6,57,13670,2,3,3,233,8,Loyal Customers
12551,63,10,2470,1,1,1,111,3,Lost Customers
12552,3,20,4720,3,2,2,322,7,Loyal Customers
12553,5,196,47580,3,4,4,344,11,Most Loyal Customer
12556,2,121,29340,3,4,4,344,11,Most Loyal Customer
12557,34,33,8170,1,2,2,122,5,Attention Needed Customers
12558,1,22,5610,4,2,2,422,8,Loyal Customers
12559,1,22,5250,4,2,2,422,8,Loyal Customers
12560,4,111,26570,3,4,4,344,11,Most Loyal Customer
12561,5,16,3680,3,1,1,311,5,Potential Loyalists Customers
12562,1,168,39840,4,4,4,444,12,Most Loyal Customer
12564,7,21,4880,2,2,2,222,6,Loyal Customers
12565,3,10,2610,3,1,1,311,5,Potential Loyalists Customers
12566,53,20,4940,1,2,2,122,5,Attention Needed Customers
12567,1,463,112340,4,4,4,444,12,Most Loyal Customer
12569,6,191,46360,2,4,4,244,10,Most Loyal Customer
12571,16,34,8440,2,2,2,222,6,Loyal Customers
12572,1,62,14960,4,3,3,433,10,Most Loyal Customer
12573,3,28,6550,3,2,2,322,7,Loyal Customers
12574,59,11,2730,1,1,1,111,3,Lost Customers
12576,1,89,22380,4,3,3,433,10,Most Loyal Customer
12577,8,148,34290,2,4,4,244,10,Most Loyal Customer
12578,1,120,29690,4,4,4,444,12,Most Loyal Customer
12579,2,31,7300,3,2,2,322,7,Loyal Customers
12580,12,24,5820,2,2,2,222,6,Loyal Customers
12581,3,15,3430,3,1,1,311,5,Potential Loyalists Customers
12582,22,22,5370,1,2,2,122,5,Attention Needed Customers
12583,1,251,59860,4,4,4,444,12,Most Loyal Customer
12584,1,126,29670,4,4,4,444,12,Most Loyal Customer
12585,1,97,22770,4,3,3,433,10,Most Loyal Customer
12586,20,12,2960,1,1,1,111,3,Lost Customers
12587,11,4,800,2,1,1,211,4,Lost Customers
12588,57,10,2370,1,1,1,111,3,Lost Customers
12589,1,35,8970,4,2,2,422,8,Loyal Customers
12590,1,70,16490,4,3,3,433,10,Most Loyal Customer
12591,1,26,6560,4,2,2,422,8,Loyal Customers
12592,10,18,3900,2,2,1,221,5,Potential Loyalists Customers
12593,67,21,5080,1,2,2,122,5,Attention Needed Customers
12594,2,119,28960,3,4,4,344,11,Most Loyal Customer
12596,13,27,6620,2,2,2,222,6,Loyal Customers
12597,1,214,51440,4,4,4,444,12,Most Loyal Customer
12598,4,133,32010,3,4,4,344,11,Most Loyal Customer
12599,7,62,15380,2,3,3,233,8,Loyal Customers
12600,1,65,15540,4,3,3,433,10,Most Loyal Customer
12601,5,29,7160,3,2,2,322,7,Loyal Customers
12602,1,12,2520,4,1,1,411,6,Potential Loyalists Customers
12603,27,3,810,1,1,1,111,3,Lost Customers
12604,24,16,3640,1,1,1,111,3,Lost Customers
12605,204,3,650,1,1,1,111,3,Lost Customers
12607,1,202,48590,4,4,4,444,12,Most Loyal Customer
12609,26,60,14140,1,3,3,133,7,Potential Loyalists Customers
12610,1,111,26430,4,4,4,444,12,Most Loyal Customer
12611,2,65,15410,3,3,3,333,9,Most Loyal Customer
12612,16,21,5090,2,2,2,222,6,Loyal Customers
12613,2,163,39940,3,4,4,344,11,Most Loyal Customer
12614,15,20,5260,2,2,2,222,6,Loyal Customers
12615,1,105,25150,4,4,4,444,12,Most Loyal Customer
12616,8,36,8500,2,2,2,222,6,Loyal Customers
12617,21,42,9840,1,2,2,122,5,Attention Needed Customers
12618,16,11,2540,2,1,1,211,4,Lost Customers
12619,7,95,22000,2,3,3,233,8,Loyal Customers
12620,2,92,21870,3,3,3,333,9,Most Loyal Customer
12621,1,474,114270,4,4,4,444,12,Most Loyal Customer
12622,4,11,2670,3,1,1,311,5,Potential Loyalists Customers
12623,8,18,4570,2,2,2,222,6,Loyal Customers
12624,14,38,9230,2,2,2,222,6,Loyal Customers
12625,1,91,21830,4,3,3,433,10,Most Loyal Customer
12626,1,307,72890,4,4,4,444,12,Most Loyal Customer
12627,2,230,55740,3,4,4,344,11,Most Loyal Customer
12628,2,43,10570,3,3,3,333,9,Most Loyal Customer
12630,5,64,15840,3,3,3,333,9,Most Loyal Customer
12631,8,31,7760,2,2,2,222,6,Loyal Customers
12633,3,103,25700,3,4,4,344,11,Most Loyal Customer
12635,1,101,25460,4,3,4,434,11,Most Loyal Customer
12637,1,394,94340,4,4,4,444,12,Most Loyal Customer
12638,1,39,9250,4,2,2,422,8,Loyal Customers
12639,7,22,5600,2,2,2,222,6,Loyal Customers
12640,2,53,12920,3,3,3,333,9,Most Loyal Customer
12641,18,10,2260,1,1,1,111,3,Lost Customers
12642,4,47,11350,3,3,3,333,9,Most Loyal Customer
12643,47,24,5760,1,2,2,122,5,Attention Needed Customers
12644,10,31,7200,2,2,2,222,6,Loyal Customers
12645,1,74,18140,4,3,3,433,10,Most Loyal Customer
12646,7,45,10840,2,3,3,233,8,Loyal Customers
12647,2,128,30140,3,4,4,344,11,Most Loyal Customer
12648,31,21,4990,1,2,2,122,5,Attention Needed Customers
12649,6,33,8070,2,2,2,222,6,Loyal Customers
12650,16,20,4500,2,2,2,222,6,Loyal Customers
12651,50,9,2400,1,1,1,111,3,Lost Customers
12652,19,51,12240,1,3,3,133,7,Potential Loyalists Customers
12653,7,43,10120,2,3,3,233,8,Loyal Customers
12654,1,38,9300,4,2,2,422,8,Loyal Customers
12656,1,130,31530,4,4,4,444,12,Most Loyal Customer
12657,5,56,13420,3,3,3,333,9,Most Loyal Customer
12658,12,36,8920,2,2,2,222,6,Loyal Customers
12659,10,5,970,2,1,1,211,4,Lost Customers
12660,57,13,3240,1,1,1,111,3,Lost Customers
12662,1,232,54300,4,4,4,444,12,Most Loyal Customer
12664,1,38,9460,4,2,2,422,8,Loyal Customers
12665,18,4,930,1,1,1,111,3,Lost Customers
12666,181,2,570,1,1,1,111,3,Lost Customers
12667,12,33,8000,2,2,2,222,6,Loyal Customers
12668,1,168,40380,4,4,4,444,12,Most Loyal Customer
12669,14,102,24280,2,3,3,233,8,Loyal Customers
12670,2,94,22640,3,3,3,333,9,Most Loyal Customer
12672,39,10,2220,1,1,1,111,3,Lost Customers
12673,9,42,9920,2,2,2,222,6,Loyal Customers
12674,2,91,22910,3,3,3,333,9,Most Loyal Customer
12676,1,45,10410,4,3,3,433,10,Most Loyal Customer
12678,6,167,39240,2,4,4,244,10,Most Loyal Customer
12679,3,56,13880,3,3,3,333,9,Most Loyal Customer
12680,10,52,12760,2,3,3,233,8,Loyal Customers
12681,1,646,155240,4,4,4,444,12,Most Loyal Customer
12682,1,525,125440,4,4,4,444,12,Most Loyal Customer
12683,1,362,86540,4,4,4,444,12,Most Loyal Customer
12684,5,105,24910,3,4,4,344,11,Most Loyal Customer
12685,1,157,37480,4,4,4,444,12,Most Loyal Customer
12686,53,7,1660,1,1,1,111,3,Lost Customers
12688,1,171,41200,4,4,4,444,12,Most Loyal Customer
12689,9,72,17370,2,3,3,233,8,Loyal Customers
12690,6,16,3930,2,1,1,211,4,Lost Customers
12691,9,32,7530,2,2,2,222,6,Loyal Customers
12693,9,41,9730,2,2,2,222,6,Loyal Customers
12694,18,37,9260,1,2,2,122,5,Attention Needed Customers
12695,14,27,6570,2,2,2,222,6,Loyal Customers
12697,27,43,10780,1,3,3,133,7,Potential Loyalists Customers
12700,2,270,64640,3,4,4,344,11,Most Loyal Customer
12701,9,53,12790,2,3,3,233,8,Loyal Customers
12702,57,12,3090,1,1,1,111,3,Lost Customers
12703,10,22,5040,2,2,2,222,6,Loyal Customers
12704,1,90,21040,4,3,3,433,10,Most Loyal Customer
12705,2,348,83750,3,4,4,344,11,Most Loyal Customer
12707,2,33,7500,3,2,2,322,7,Loyal Customers
12708,1,174,42250,4,4,4,444,12,Most Loyal Customer
12709,1,257,62070,4,4,4,444,12,Most Loyal Customer
12710,1,79,18660,4,3,3,433,10,Most Loyal Customer
12712,5,142,33510,3,4,4,344,11,Most Loyal Customer
12713,24,38,8800,1,2,2,122,5,Attention Needed Customers
12714,1,259,63100,4,4,4,444,12,Most Loyal Customer
12715,15,21,4860,2,2,2,222,6,Loyal Customers
12716,21,69,16810,1,3,3,133,7,Potential Loyalists Customers
12717,3,56,13310,3,3,3,333,9,Most Loyal Customer
12718,9,19,4950,2,2,2,222,6,Loyal Customers
12719,1,42,10380,4,2,3,423,9,Most Loyal Customer
12720,1,359,86020,4,4,4,444,12,Most Loyal Customer
12721,1,164,39860,4,4,4,444,12,Most Loyal Customer
12722,4,57,14060,3,3,3,333,9,Most Loyal Customer
12723,1,69,16310,4,3,3,433,10,Most Loyal Customer
12724,1,53,12790,4,3,3,433,10,Most Loyal Customer
12725,6,24,5800,2,2,2,222,6,Loyal Customers
12726,1,124,30320,4,4,4,444,12,Most Loyal Customer
12727,4,141,33320,3,4,4,344,11,Most Loyal Customer
12728,12,46,11100,2,3,3,233,8,Loyal Customers
12729,24,26,6340,1,2,2,122,5,Attention Needed Customers
12731,2,277,65510,3,4,4,344,11,Most Loyal Customer
12732,52,12,3000,1,1,1,111,3,Lost Customers
12733,1,22,5330,4,2,2,422,8,Loyal Customers
12734,49,4,1000,1,1,1,111,3,Lost Customers
12735,4,43,10430,3,3,3,333,9,Most Loyal Customer
12736,18,4,980,1,1,1,111,3,Lost Customers
12738,2,11,2450,3,1,1,311,5,Potential Loyalists Customers
12739,2,38,9250,3,2,2,322,7,Loyal Customers
12740,24,27,6660,1,2,2,122,5,Attention Needed Customers
12743,1,134,31140,4,4,4,444,12,Most Loyal Customer
12744,2,229,55690,3,4,4,344,11,Most Loyal Customer
12747,1,103,24290,4,4,3,443,11,Most Loyal Customer
12748,1,4642,1113710,4,4,4,444,12,Most Loyal Customer
12749,1,231,56120,4,4,4,444,12,Most Loyal Customer
12750,16,15,3220,2,1,1,211,4,Lost Customers
12752,11,53,12480,2,3,3,233,8,Loyal Customers
12753,1,230,56120,4,4,4,444,12,Most Loyal Customer
12754,10,65,15100,2,3,3,233,8,Loyal Customers
12755,113,6,1610,1,1,1,111,3,Lost Customers
12756,44,4,970,1,1,1,111,3,Lost Customers
12757,1,377,90560,4,4,4,444,12,Most Loyal Customer
12758,4,97,22700,3,3,3,333,9,Most Loyal Customer
12759,3,95,22330,3,3,3,333,9,Most Loyal Customer
12762,8,69,16620,2,3,3,233,8,Loyal Customers
12763,12,18,4280,2,2,2,222,6,Loyal Customers
12764,2,45,10350,3,3,3,333,9,Most Loyal Customer
12766,1,310,73180,4,4,4,444,12,Most Loyal Customer
12769,1,32,7300,4,2,2,422,8,Loyal Customers
12770,21,12,2870,1,1,1,111,3,Lost Customers
12772,8,55,13410,2,3,3,233,8,Loyal Customers
12775,13,67,16040,2,3,3,233,8,Loyal Customers
12778,8,51,12800,2,3,3,233,8,Loyal Customers
12779,3,159,38460,3,4,4,344,11,Most Loyal Customer
12781,18,30,7230,1,2,2,122,5,Attention Needed Customers
12782,1,107,25890,4,4,4,444,12,Most Loyal Customer
12783,1,86,21090,4,3,3,433,10,Most Loyal Customer
12784,3,59,13670,3,3,3,333,9,Most Loyal Customer
12785,8,15,3830,2,1,1,211,4,Lost Customers
12787,6,20,4910,2,2,2,222,6,Loyal Customers
12789,11,4,840,2,1,1,211,4,Lost Customers
12790,7,21,5100,2,2,2,222,6,Loyal Customers
12791,117,2,420,1,1,1,111,3,Lost Customers
12792,1,25,6570,4,2,2,422,8,Loyal Customers
12793,35,24,5920,1,2,2,122,5,Attention Needed Customers
12794,9,45,11080,2,3,3,233,8,Loyal Customers
12795,73,14,3510,1,1,1,111,3,Lost Customers
12797,8,17,4240,2,1,2,212,5,Attention Needed Customers
12798,68,8,2140,1,1,1,111,3,Lost Customers
12802,43,26,5810,1,2,2,122,5,Attention Needed Customers
12808,17,28,6800,2,2,2,222,6,Loyal Customers
12809,14,26,5850,2,2,2,222,6,Loyal Customers
12811,11,31,7220,2,2,2,222,6,Loyal Customers
12812,26,15,3410,1,1,1,111,3,Lost Customers
12814,293,2,410,1,1,1,111,3,Lost Customers
12815,1,47,11010,4,3,3,433,10,Most Loyal Customer
12816,21,29,6490,1,2,2,122,5,Attention Needed Customers
12817,216,4,1120,1,1,1,111,3,Lost Customers
12818,4,16,3860,3,1,1,311,5,Potential Loyalists Customers
12820,2,59,14520,3,3,3,333,9,Most Loyal Customer
12821,21,6,1240,1,1,1,111,3,Lost Customers
12822,2,47,11310,3,3,3,333,9,Most Loyal Customer
12823,38,5,1070,1,1,1,111,3,Lost Customers
12824,8,25,6230,2,2,2,222,6,Loyal Customers
12826,4,94,21980,3,3,3,333,9,Most Loyal Customer
12827,6,25,5550,2,2,2,222,6,Loyal Customers
12828,3,56,13720,3,3,3,333,9,Most Loyal Customer
12829,21,12,2930,1,1,1,111,3,Lost Customers
12830,1,39,9000,4,2,2,422,8,Loyal Customers
12831,29,9,2120,1,1,1,111,3,Lost Customers
12832,9,27,6800,2,2,2,222,6,Loyal Customers
12833,6,24,6050,2,2,2,222,6,Loyal Customers
12834,17,18,4350,2,2,2,222,6,Loyal Customers
12836,4,175,42970,3,4,4,344,11,Most Loyal Customer
12837,3,12,2850,3,1,1,311,5,Potential Loyalists Customers
12838,1,123,28490,4,4,4,444,12,Most Loyal Customer
12839,2,316,76590,3,4,4,344,11,Most Loyal Customer
12840,3,116,26940,3,4,4,344,11,Most Loyal Customer
12841,1,439,106400,4,4,4,444,12,Most Loyal Customer
12842,5,34,7860,3,2,2,322,7,Loyal Customers
12843,10,108,26780,2,4,4,244,10,Most Loyal Customer
12844,4,52,12720,3,3,3,333,9,Most Loyal Customer
12845,5,27,5980,3,2,2,322,7,Loyal Customers
12847,4,91,21160,3,3,3,333,9,Most Loyal Customer
12849,8,51,12660,2,3,3,233,8,Loyal Customers
12851,6,50,11890,2,3,3,233,8,Loyal Customers
12852,3,20,4520,3,2,2,322,7,Loyal Customers
12853,1,84,19980,4,3,3,433,10,Most Loyal Customer
12854,4,115,27480,3,4,4,344,11,Most Loyal Customer
12855,177,3,700,1,1,1,111,3,Lost Customers
12856,2,317,74440,3,4,4,344,11,Most Loyal Customer
12857,1,46,10920,4,3,3,433,10,Most Loyal Customer
12863,1,6,1510,4,1,1,411,6,Potential Loyalists Customers
12864,81,3,740,1,1,1,111,3,Lost Customers
12865,13,96,22450,2,3,3,233,8,Loyal Customers
12866,9,26,6300,2,2,2,222,6,Loyal Customers
12867,1,551,133250,4,4,4,444,12,Most Loyal Customer
12868,1,107,26110,4,4,4,444,12,Most Loyal Customer
12870,278,2,600,1,1,1,111,3,Lost Customers
12871,1,11,2310,4,1,1,411,6,Potential Loyalists Customers
12872,10,66,15790,2,3,3,233,8,Loyal Customers
12873,63,4,900,1,1,1,111,3,Lost Customers
12875,168,2,550,1,1,1,111,3,Lost Customers
12876,1,85,20730,4,3,3,433,10,Most Loyal Customer
12877,1,154,36270,4,4,4,444,12,Most Loyal Customer
12878,1,49,12050,4,3,3,433,10,Most Loyal Customer
12879,12,12,2830,2,1,1,211,4,Lost Customers
12881,70,7,1690,1,1,1,111,3,Lost Customers
12882,60,13,3040,1,1,1,111,3,Lost Customers
12883,6,42,9620,2,2,2,222,6,Loyal Customers
12884,123,7,1600,1,1,1,111,3,Lost Customers
12885,2,72,17930,3,3,3,333,9,Most Loyal Customer
12886,1,86,20210,4,3,3,433,10,Most Loyal Customer
12888,18,7,1610,1,1,1,111,3,Lost Customers
12890,5,82,20490,3,3,3,333,9,Most Loyal Customer
12891,92,3,780,1,1,1,111,3,Lost Customers
12893,11,34,8170,2,2,2,222,6,Loyal Customers
12895,7,24,5630,2,2,2,222,6,Loyal Customers
12897,34,4,840,1,1,1,111,3,Lost Customers
12901,1,125,28860,4,4,4,444,12,Most Loyal Customer
12902,32,10,2270,1,1,1,111,3,Lost Customers
12904,2,72,17220,3,3,3,333,9,Most Loyal Customer
12906,4,63,15370,3,3,3,333,9,Most Loyal Customer
12908,1,4,720,4,1,1,411,6,Potential Loyalists Customers
12909,10,96,23350,2,3,3,233,8,Loyal Customers
12910,4,75,17870,3,3,3,333,9,Most Loyal Customer
12912,2,24,5870,3,2,2,322,7,Loyal Customers
12913,4,50,12470,3,3,3,333,9,Most Loyal Customer
12915,2,22,5270,3,2,2,322,7,Loyal Customers
12916,1,109,25760,4,4,4,444,12,Most Loyal Customer
12917,162,2,520,1,1,1,111,3,Lost Customers
12919,2,52,12970,3,3,3,333,9,Most Loyal Customer
12920,4,28,6450,3,2,2,322,7,Loyal Customers
12921,1,741,178680,4,4,4,444,12,Most Loyal Customer
12922,4,28,6720,3,2,2,322,7,Loyal Customers
12923,4,29,6480,3,2,2,322,7,Loyal Customers
12924,30,31,7200,1,2,2,122,5,Attention Needed Customers
12925,1,45,10830,4,3,3,433,10,Most Loyal Customer
12928,7,84,19610,2,3,3,233,8,Loyal Customers
12929,82,9,2280,1,1,1,111,3,Lost Customers
12930,3,27,6190,3,2,2,322,7,Loyal Customers
12931,3,102,24400,3,3,3,333,9,Most Loyal Customer
12933,5,107,25000,3,4,4,344,11,Most Loyal Customer
12935,4,130,29690,3,4,4,344,11,Most Loyal Customer
12936,8,63,15260,2,3,3,233,8,Loyal Customers
12937,1,120,28560,4,4,4,444,12,Most Loyal Customer
12938,30,9,2270,1,1,1,111,3,Lost Customers
12939,2,47,11090,3,3,3,333,9,Most Loyal Customer
12940,8,103,24930,2,4,4,244,10,Most Loyal Customer
12942,4,75,17840,3,3,3,333,9,Most Loyal Customer
12943,222,1,270,1,1,1,111,3,Lost Customers
12944,19,30,7090,1,2,2,122,5,Attention Needed Customers
12945,1,23,5150,4,2,2,422,8,Loyal Customers
12947,1,103,24610,4,4,4,444,12,Most Loyal Customer
12948,1,118,27940,4,4,4,444,12,Most Loyal Customer
12949,1,219,52200,4,4,4,444,12,Most Loyal Customer
12950,1,23,5410,4,2,2,422,8,Loyal Customers
12951,1,65,14860,4,3,3,433,10,Most Loyal Customer
12952,1,80,20120,4,3,3,433,10,Most Loyal Customer
12953,13,17,3760,2,1,1,211,4,Lost Customers
12955,3,183,43660,3,4,4,344,11,Most Loyal Customer
